T (K) rhol (gm/cm3) rhov (gm/cm3) P (bar) Hv (kJ/mol) Z
560 0.416	 0.1062	 24.0	 13.29	 0.554	
550 0.441	 0.0886	 21.13	 15.33	 0.596	
540 0.464	 0.0738	 18.56	 17.21	 0.640	
530 0.4832	 0.0618	 16.23	 18.84	 0.681	
520 0.5000	 0.0522	 14.14	 20.24	 0.716	
510 0.5152	 0.0442	 12.26	 21.48	 0.747	
500 0.5293	 0.0375	 10.57	 22.60	 0.773	
490 0.5425	 0.03184	 9.06	 23.62	 0.798	
480 0.5550	 0.02693	 7.71	 24.56	 0.820	
470 0.5668	 0.02269	 6.520	 25.44	 0.840	
460 0.5782	 0.01903	 5.469	 26.26	 0.858	
450 0.5893	 0.01587	 4.550	 27.05	 0.875	
440 0.6000	 0.01314	 3.750	 27.79	 0.891	
430 0.6102	 0.01080	 3.061	 28.49	 0.905	
420 0.6200	 0.00880	 2.472	 29.15	 0.918	
410 0.6295	 0.00711	 1.973	 29.78	 0.930	
400 0.6389	 0.00568	 1.555	 30.39	 0.941	
390 0.6482	 0.00448	 1.208	 30.98	 0.950	
380 0.6574	 0.00349	 0.925	 31.56	 0.959	
