T (K) rhol urhol (gm/cm3) rhov urhov (gm/cm3) P uP (bar) Hv uHv (kJ/mol) Z uZ
480 0.4165	0.0003	 0.0996	0.0006	 25.40	0.06	 11.39	0.05	 0.551	0.005	
470 0.4400	0.0002	 0.0804	0.0003	 21.99	0.05	 13.24	0.03	 0.603	0.003	
460 0.4619	0.0002	 0.0651	0.0002	 18.96	0.04	 14.93	0.02	 0.656	0.003	
450 0.4812	0.0002	 0.0534	0.0001	 16.27	0.03	 16.37	0.01	 0.702	0.003	
440 0.4983	0.0003	 0.0442	0.0001	 13.88	0.03	 17.58	0.02	 0.739	0.003	
430 0.5137	0.0002	 0.03678	0.00008	 11.76	0.03	 18.62	0.02	 0.771	0.003	
420 0.5278	0.0002	 0.03057	0.00006	 9.89	0.02	 19.55	0.01	 0.799	0.003	
410 0.5411	0.0002	 0.02534	0.00004	 8.25	0.02	 20.39	0.02	 0.823	0.003	
400 0.5536	0.0003	 0.02090	0.00003	 6.82	0.02	 21.17	0.02	 0.846	0.003	
390 0.5657	0.0003	 0.01712	0.00003	 5.58	0.02	 21.90	0.02	 0.866	0.003	
380 0.5772	0.0002	 0.01392	0.00003	 4.51	0.01	 22.58	0.01	 0.885	0.004	
370 0.5884	0.0002	 0.01121	0.00003	 3.61	0.01	 23.21	0.01	 0.902	0.004	
360 0.5991	0.0003	 0.00894	0.00003	 2.846	0.009	 23.81	0.01	 0.917	0.005	
350 0.6096	0.0003	 0.00704	0.00003	 2.212	0.007	 24.38	0.01	 0.931	0.005	
340 0.6197	0.0001	 0.00547	0.00002	 1.691	0.006	 24.92	0.01	 0.943	0.005	
330 0.6295	0.0002	 0.00418	0.00002	 1.269	0.005	 25.43	0.02	 0.953	0.006	
320 0.6392	0.0005	 0.00314	0.00002	 0.934	0.004	 25.93	0.03	 0.962	0.007	
310 0.648	0.001	 0.00231	0.00001	 0.671	0.004	 26.40	0.05	 0.970	0.008	
