T (K) rhol (gm/cm3) rhov (gm/cm3) P (bar) Hv (kJ/mol) Z
380 0.4047	 0.07414	 25.47	 10.352	 0.632	
370 0.4342	 0.0602	 21.44	 11.695	 0.673	
360 0.45600	 0.04852	 17.87	 12.846	 0.715	
350 0.4744	 0.03912	 14.76	 13.84	 0.754	
340 0.4911	 0.03149	 12.06	 14.72	 0.787	
330 0.5064	 0.02524	 9.74	 15.496	 0.817	
320 0.5209	 0.02009	 7.76	 16.206	 0.844	
310 0.5348	 0.01584	 6.09	 16.860	 0.867	
300 0.5480	 0.01235	 4.70	 17.46	 0.886	
290 0.5605	 0.00950	 3.55	 18.00	 0.901	
280 0.5725	 0.00720	 2.62	 18.49	 0.910	
270 0.5842	 0.00535	 1.885	 18.95	 0.912	
260 0.5955	 0.00389	 1.310	 19.37	 0.90	
250 0.6066	 0.00276	 0.873	 19.74	 0.89	
