T (K) rhol urhol (gm/cm3) rhov urhov (gm/cm3) P uP (bar) Hv uHv (kJ/mol) Z uZ
380 0.4047	0.0003	 0.07414	0.00009	 25.47	0.04	 10.352	0.003	 0.632	0.001	
370 0.4342	0.0001	 0.0602	0.0001	 21.44	0.03	 11.695	0.005	 0.673	0.002	
360 0.45600	0.00007	 0.04852	0.00007	 17.87	0.03	 12.846	0.007	 0.715	0.002	
350 0.4744	0.0002	 0.03912	0.00005	 14.76	0.03	 13.84	0.01	 0.754	0.002	
340 0.4911	0.0003	 0.03149	0.00004	 12.06	0.03	 14.72	0.01	 0.787	0.002	
330 0.5064	0.0002	 0.02524	0.00004	 9.74	0.02	 15.496	0.008	 0.817	0.003	
320 0.5209	0.0001	 0.02009	0.00003	 7.76	0.02	 16.206	0.006	 0.844	0.003	
310 0.5348	0.0001	 0.01584	0.00003	 6.09	0.02	 16.860	0.003	 0.867	0.003	
300 0.5480	0.0003	 0.01235	0.00003	 4.70	0.02	 17.46	0.01	 0.886	0.004	
290 0.5605	0.0003	 0.00950	0.00003	 3.55	0.01	 18.00	0.01	 0.901	0.005	
280 0.5725	0.0003	 0.00720	0.00003	 2.62	0.01	 18.49	0.02	 0.910	0.006	
270 0.5842	0.0001	 0.00535	0.00003	 1.885	0.009	 18.95	0.01	 0.912	0.008	
260 0.5955	0.0002	 0.00389	0.00003	 1.310	0.008	 19.37	0.02	 0.90	0.01	
250 0.6066	0.0003	 0.00276	0.00003	 0.873	0.009	 19.74	0.03	 0.89	0.01	
