#T(K)	P(bar)		rhoL(kg/m3)	rhoV(kg/m3)	Zvap		Zliq
150	47.56403	758.28888	315.79017	0.482473872	0.200926731
145	39.28286	853.8809	234.89753	0.554168285	0.152448382
140	32.11819	939.85632	173.43169	0.635593712	0.11728611
135	25.92938	1014.76103	132.07066	0.698774482	0.090945163
130	20.62704	1070.41471	101.4874	0.751218809	0.071224025
125	16.15737	1114.35619	78.12454	0.794983665	0.055734184
120	12.41539	1158.86062	60.15269	0.826435735	0.042897594
115	9.29804		1202.44886	45.93816	0.845677926	0.032308141
110	6.75488		1238.83622	34.16821	0.863550513	0.023817495
105	4.75782		1273.90364	24.3733		0.893283671	0.017090987
100	3.24647		1308.88318	16.79753	0.928647705	0.011917785
95	2.13494		1343.57699	11.2919		0.956268976	0.008036825
90	1.33898		1373.40412	7.32315		0.97615475	0.00520497
